kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
会,"meeting, meet, party, association, interview, join","カイ, エ; あ.う, あ.わせる, あつ.まる","委員会 (いいんかい·2,0) = committee meeting, committee; 運動会 (うんどうかい·3) = athletic meet; 宴会 (えんかい·0) = party, banquet; 会員 (かいいん·0) = member, the membership; 会議 (かいぎ·1,3) = meeting, conference",会いたい。,,I want to see you.,二 个 厶,"陰,絵,転"
何,what,"カ; なに, なん, なに-, なん-","何か (なんか·1) = something; 何しろ (なにしろ·1) = at any rate, anyhow, anyway, in any case; 何だか (なんだか·1) = (a) little, somewhat, somehow; 何て (なんて·1) = how ..!, what ..!, what (questioning); 何と (なんと·1) = what, how, whatever",何？,,What?,化 口 亅 一,"伺,荷,司"
先,"before, ahead, previous, future, precedence","セン; さき, ま.ず","勤め先 (つとめさき·0) = place of work; 口先 (くちさき·0) = lip service, mere words, professions, lips, mouth, snout, proboscis; 最先端 (さいせんたん·3) = leading edge, at the forefront, ultra-fine; 真っ先 (まっさき·3,4) = the head, the foremost, beginning; 先決 (せんけつ·0) = previous decision, deciding in advance",先生です。,,She is a teacher.,ノ 土 儿,"銑,洗,走"
入,"enter, insert","ニュウ, ジュ; い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","加入 (かにゅう·0) = becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing; 落ち入る (おちいる·3,0) = to fall, to trap, to cave in, to collapse; 気に入る (きにいる·0) = to be pleased with, to suit; 記入 (きにゅう·0) = entry, filling in of forms; 購入 (こうにゅう·0) = purchase, buy",入れ！,,Come in.,,
八,"eight, eight radical","ハチ; や, や.つ, やっ.つ, よう",八百屋 (やおや·0) = greengrocer; 八 (や·1) = eight,八十歳です。,,He is eighty years old.,ハ,"黄,貝,呉"
六,six,"ロク, リク; む, む.つ, むっ.つ, むい","六月 (ろくがつ·4) = June; 六感 (ろっかん·0) = sixth sense; 六法全書 (ろっぽうぜんしょ·5) = compendium of laws, statute book; 六本木 (ろっぽんぎ) = Roppongi (entertainment district in Tokyo); 六日 (むいか·0) = 6th day of the month;  six days",六十の手習い。,,It is never too late to learn.,ハ 亠,"恋,醸,譲"
円,"circle, yen, round","エン; まる.い, まる, まど, まど.か, まろ.やか","一円 (いちえん·0,2) = whole district, one yen, throughout; 円 (まる·0) = Yen, money, circle; 円安 (えんやす·0) = cheap yen; 円高 (えんだか·0) = high-valued yen, exchange in favor (favour) of the yen; 円盤 (えんばん·0) = disk, discus, platter, flying saucer",５０円です。,,It's 50 yen.,冂 亠 一 ｜,"世,凸,再"
出,"exit, leave","シュツ, スイ; で.る, -で, だ.す, -だ.す, い.でる, い.だす","演出 (えんしゅつ·0) = production (eg play), direction; 家出 (いえで·0) = running away from home, leaving home; 外出 (そとで·0) = outing, trip, going out; 割出す (わりだす·3) = to calculate, to compute, to infer; 見出し (みだし·0) = heading, caption, subtitle, index",出ろ！,,Get out.,｜ 山 凵,"拙,屈,掘"
分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100","ブン, フン, ブ; わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","一部分 (いちぶぶん·3) = part, portion, section; 引分け (ひきわけ·0) = draw (in competition), tie game; 塩分 (えんぶん·1) = salt, salt content; 何分 (なにぶん·0) = anyway, please; 幾分 (いくぶん·0) = somewhat, to some extent",多分!,,Probably!,刀 ハ,"雰,盆,貧"
前,"in front, before","ゼン; まえ, -まえ","御前 (おめえ·0) = you (masc); 已前 (いぜん·1) = ago, since, before, previous; 一人前 (ひとりまえ·0) = adult, full manhood or womanhood, one helping, one portion; 駅前 (えきまえ·3,0) = in front of station; 気前 (きまえ·0) = generosity",お名前は？,,May I have your name?,一 刈 月 并,"輸,諭,朕"
北,north,ホク; きた,"南北 (なんぼく·1) = south and north; 敗北 (はいぼく·0) = defeat (as a verb it means 'to be defeated'); 北 (きた·0,2) = North; 北極 (ほっきょく·0) = North Pole; 北西 (ほくせい·0) = northwest",北って、どっち？,,Which direction is north?,匕 爿,"背,老,化"
十,ten,"ジュウ, ジッ, ジュッ; とお, と","五十音 (ごじゅうおん·2) = the Japanese syllabary; 十字架 (じゅうじか·0) = cross, the Cross (of Christ); 十字路 (じゅうじろ·3) = crossroads; 不十分 (ふじゅうぶん·2) = insufficient, inadequate, imperfect, shortage; 十 (とお·1) = 10, ten",十人十色。,,Each has his own taste.,,
千,thousand,セン; ち,"何千 (なんぜん·3) = many thousands; 千 (ち·1) = 1,000, thousand",千円で足りる？,,Is one thousand yen enough?,ノ 十,"升,汁,昇"
午,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",ゴ; うま,"午後 (ごご·1) = afternoon, p.m.; 午前 (ごぜん·1) = morning, a.m.; 正午 (しょうご·1) = noon, mid-day; 午 (ひる·2) = noon, midday, daytime, lunch",午前８時です。,,It’s 8:00 am.,ノ 干 十 乞,"許,千,年"
半,"half, middle, odd number, semi-, part-",ハン; なか.ば,"過半数 (かはんすう·2,4) = majority; 後半 (こうはん·0) = second half, latter half; 上半身 (じょうはんしん·3) = upper half of body, bust; 大半 (たいはん·0,3) = majority, mostly, generally; 半 (はん·1) = half",2時半です。,,It's 2:30 now.,｜ 二 并 十,"畔,判,伴"
南,south,"ナン, ナ; みなみ","南 (みなみ·0) = south; 南極 (なんきょく·0) = south pole, Antarctic; 南部 (なんぶ·1) = southern part; 南北 (なんぼく·1) = south and north; 南西 (みなみにし·0) = southwest",南アフリカは遠い。,,South Africa is far away.,干 十 并 冂,"献,楠,平"
友,friend,ユウ; とも,"親友 (しんゆう·0) = close friend, bosom (old, intimate) friend, buddy, crony, chum; 友好 (ゆうこう·0) = friendship; 友情 (ゆうじょう·0) = friendship, fellowship; 友人 (ゆうじん·0) = friend; 友だち (ともだち·0) = friend, companion",友達がない。,,I have no friends.,ノ 一 又,"暖,援,段"
口,mouth,"コウ, ク; くち","ひと口 (ひとくち·2) = mouthful, bite, sip, draft, draught, one word; 口 (くち·0) = mouth, opening, hole, gap; 口語 (こうご·0) = spoken language, literary style based on (modern) spoken language; 口紅 (くちべに·0) = lipstick; 口止め (くちどめ·0) = forbidding to speak, muzzling (a person)",一口どう？,,How about a bite?,囗,"図,囲,困"
古,old,"コ; ふる.い, ふる-, -ふる.す","稽古 (けいこ·1) = practice, practise, training, study; 古代 (こだい·1) = ancient times; 古典 (こてん·0) = old book, classics, classic; 中古 (ちゅうぶる·0) = used, second-hand, old, Middle Ages; 古本 (こほん·0) = secondhand book, ancient book, antiquarian books",中古だよ。,,It's second-hand.,口 十,"叶,革,衷"
右,right,"ウ, ユウ; みぎ","右 (みぎ·0) = right, right hand side; 右手 (みぎて·0) = right hand; 右翼 (うよく·1) = right-wing; 左右 (さゆう·1) = left and right, influence, control, domination; 右側 (うそく·0) = right side, right hand",回れ右！,,About face!,ノ 一 口,"若,祐,君"
名,"name, noted, distinguished, reputation","メイ, ミョウ; な, -な","国名 (こくめい·0) = country name; 氏名 (しめい·1) = full name, identity; 実名 (じつめい·0) = real name; 署名 (しょめい·0) = signature; 人名 (じんめい·0) = person's name",名案だ。,,That's a good idea!,口 夕,"銘,舌,石"
四,four,"シ; よ, よ.つ, よっ.つ, よん","四角 (しかく·3) = square; 四角い (しかくい·0,3) = square, rectangular; 四季 (しき·2,1) = four seasons; 四捨五入 (ししゃごにゅう·1) = rounding up (esp. fractions); 四方 (よも·1) = every direction",二の二倍は四。,,Twice two is equal to four.,儿 囗,"口,見,図"
国,country,コク; くに,"王国 (おうこく·0) = kingdom, monarchy; 外国 (がいこく·0) = foreign country; 外国語 (がいこくご·0) = foreign language; 外国人 (がいこくじん·4) = foreigner; 帰国 (きこく·0) = return to one's country",外国人だ。,,I am a foreigner.,王 囗 丶,"玉,主,口"
土,"soil, earth, ground, Turkey","ド, ト; つち","国土 (こくど·1) = country, territory, domain, realm; 土圭 (ときはかり·0) = watch, clock, timepiece; 土 (つち·2) = earth, soil; 土間 (どま·2) = dirt floor; 土産 (みやげ·0) = present, souvenir",土下座しろ！,,On your knees!,,
外,outside,"ガイ, ゲ; そと, ほか, はず.す, はず.れる, と-","案外 (あんがい·1,0) = unexpectedly; 以外 (いがい·1) = with the exception of, excepting; 意外 (いがい·0,1) = unexpected, surprising; 屋外 (おくがい·2) = outdoors; 海外 (かいがい·1) = foreign, abroad, overseas",外見て！,,Look outside!,卜 夕,"多,移,汐"
多,"many, frequent, much","タ; おお.い, まさ.に, まさ.る","多い (おおい·1,2) = many, numerous; 多湿 (たしつ·0) = high humidity; 多少 (たしょう·0) = more or less, somewhat, a little, some; 多数 (たすう·2) = great number, countless, majority; 多大 (ただい·0) = heavy, much",多い！,,A lot!,夕,"移,汐,外"
大,"large, big","ダイ, タイ; おお-, おお.きい, -おお.いに","偉大 (いだい·0) = greatness; 拡大 (かくだい·0) = magnification, enlargement, expansion; 寛大 (かんだい·0) = tolerance, liberality, leniency; 巨大 (きょだい·0) = huge, gigantic, enormous; 弘大 (こうだい·0) = huge, very large, vast, extensive, magnificent, grand",大丈夫！,,No problem!,,
天,"heavens, sky, imperial","テン; あまつ, あめ, あま-","雨天 (うてん·1) = rainy weather; 楽天的 (らくてんてき·0) = optimistic; 晴天 (せいてん·0) = fine weather; 先天的 (せんてんてき·0) = a priori, inborn, innate, inherent; 天 (あま·1) = sky, heaven",変な天気！,,How strange the weather is!,一 大 二,"蚕,三,送"
女,"woman, female","ジョ, ニョ, ニョウ; おんな, め","悪女 (あくじょ·1) = wicked or ugly woman; 王女 (おうじょ·1) = princess; 処女 (しょじょ·1) = virgin, maiden; 女 (おんな·3) = woman; 女の児 (おんなのコ·3) = girl",女です。,,I'm a woman.,,
子,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac","シ, ス, ツ; こ, -こ, ね","倚子 (いす·0) = chair, post, office, position; 羽子 (はね·2) = feather, plume, wing, blade (fan, propeller, etc.); 王子 (おうじ·1) = prince; 格子 (こうし·0) = (crystal) lattice, grid pattern; 原子 (げんし·1) = atom",息子だ。,,He's my son.,,
学,"study, learning, science",ガク; まな.ぶ,"医学 (いがく·1) = medical science, medicine; 化学 (ばけがく·2) = chemistry, chemical (company); 科学 (かがく·1) = science; 科学者 (かがくしゃ·2,3) = scientist; 学位 (がくい·1) = (university) degree",学生？,,Are you a student?,子 尚 冖,"覚,蛍,栄"
安,"relax, cheap, low, quiet, rested, contented, peaceful","アン; やす.い, やす.まる, やす, やす.らか","安易 (あんい·1,0) = easy, simple, easy-going; 安神 (あんしん·0) = relief, peace of mind; 安静 (あんせい·0) = rest; 安全 (あんぜん·0) = safety, security; 安定 (あんてい·0) = stability, equilibrium",不安だ。,,I'm worried.,女 宀,"案,晏,宴"
小,"little, small","ショウ; ちい.さい, こ-, お-, さ-","最小 (さいしょう·0) = smallest, least; 最小限 (さいしょうげん·3) = minimum, lowest; 縮小 (しゅくしょう·0) = reduction, curtailment; 小さい (ちいさい·3) = small, little, tiny; 小雨 (こあめ·0) = light rain, drizzle",猫に小判。,,猫(ねこ) に 小判,,
少,"few, little","ショウ; すく.ない, すこ.し","減少 (げんしょう·0) = decrease, reduction, decline; 少数点 (しょうすうてん·3) = decimal point, radix point; 少し (すこし·2) = small quantity, little, few, something, little while, short distance; 少数 (しょうすう·3) = minority, few; 少年 (しょうねん·0) = boys, juveniles",もう少しだ。,,Nearly finished.,ノ 小,"秒,省,沙"
山,mountain,"サン, セン; やま","火山 (かざん·1) = volcano; 鉱山 (こうざん·1) = mine (ore); 山 (やま·2) = mountain, pile, heap; 山登り (やまのぼり·3) = mountain climbing, mountaineering; 山脈 (やまなみ·0) = mountain range",入山した。,,I went into the mountains.,,
川,"stream, river, 3-stroke river radical",セン; かわ,"河川 (かせん·1) = rivers; 小川 (おがわ·0) = streamlet, brook; 川口 (かわぐち·0) = mouth of river, estuary; 川原 (かわはら·0) = dry river bed, river beach",その川は広い。,,The river is wide.,,
左,left,"サ, シャ; ひだり","左 (ひだり·0) = left, left hand side; 左右 (さゆう·1) = left and right, influence, control, domination; 左手 (ひだりて·0) = left hand; 左遷 (させん·0) = demotion, degradation; 左翼 (さよく·1) = left wing",僕は左利きです。,,僕(ぼく) は 左利き です,ノ 一 工,"佐,惰,有"
年,"year, counter for years",ネン; とし,"学年 (がくねん·0) = year in school, grade in school; 去年 (こぞ·1) = last year; 御年玉 (おとしだま·0) = New Year's gift; 再来年 (さらいねん·0) = year after next; 昨年 (さくねん·0) = last year",もう年だよ。,,もう 年(とし) だ よ,ノ 一 干 乞,"矢,午,許"
店,"store, shop","テン; みせ, たな","開店 (かいてん·0) = (grand) opening of shop; 喫茶店 (きっさてん·3,0) = coffee lounge, coffee shop, (rather formal) cafe; 支店 (してん·0) = branch store (office); 書店 (しょてん·0,1) = bookshop, bookstore; 商店 (しょうてん·1) = shop, business firm",いつ開店したの？,,何時(いつ) 開店 為る(する) の,口 卜 广,"占,舌,石"
後,"behind, back, later","ゴ, コウ; のち, うし.ろ, うしろ, あと, おく.れる","以後 (いご·1) = after this, from now on, hereafter, thereafter; 後 (あと·1) = behind, rear, after, later; 後 (うしろ·0) = back, behind, rear; 後援 (こうえん·0) = support, backing; 後回し (あとまわし·3) = putting off, postponing",また後で。,,I'll see you later.,夂 幺 彳,"行,幻,終"
手,hand,"シュ, ズ; て, て-, -て, た-","握手 (あくしゅ·1) = handshake; 右手 (みぎて·0) = right hand; 運転手 (うんてんしゅ·3) = driver, chauffeur; 下手 (へた·2) = unskillful, poor, awkward, imprudent, untactful; 歌手 (かしゅ·1) = singer",王手！,,Checkmate!,,
新,new,"シン; あたら.しい, あら.た, あら-, にい-","維新 (いしん·1) = restoration (eg Meiji); 革新 (かくしん·0) = reform, innovation; 新しい (あたらしい·4) = new; 新た (あらた·1) = new, fresh, novel, newly, freshly, re-; 新刊 (しんかん·0) = new book, new publication",新人です。,,I'm a freshman.,斤 辛 并 木 立 亠,"薪,親,析"
日,"day, sun, Japan, counter for days","ニチ, ジツ; ひ, -び, -か","火曜日 (かようび·2) = Tuesday; 期日 (ごじつ·1,0) = fixed date, settlement date; 記念日 (きねんび·2) = holiday, anniversary, memorial day; 休日 (きゅうじつ·0) = holiday, day off; 月日 (つきひ·2) = time, years, days",今日は。,,Hello!,,
時,"time, hour","ジ; とき, -どき","何時 (いつ·1) = when, how soon; 時 (とき·2) = time, hour, occasion, moment; 時雨 (しぐれ·0) = drizzle, shower in late autumn (fall) or early winter; 時間 (じかん·0) = time, hours; 時間割り (じかんわり·0) = timetable, schedule",もう５時？,,Is it five already?,寸 土 日,"蒔,封,寺"
書,write,"ショ; か.く, -が.き, -がき","横書き (よこがき·0) = writing horizontally; 下書き (したがき·0) = rough copy, draft, draught; 願書 (がんしょ·1) = written application or petition; 教科書 (きょうかしょ·3) = textbook, text book; 原書 (げんしょ·0) = original document",書け。,,Write.,日 聿,"晶,昌,香"
月,"month, moon","ゲツ, ガツ; つき","月刊 (げっかん·0) = monthly publication; 月給 (げっきゅう·0) = monthly salary; 月見 (つきみ·3,0) = viewing the moon; 月光 (げっこう·0) = moonlight, moonbeam; 月謝 (げっしゃ·0) = monthly tuition fee",月見て！,,Look at the moon.,,
木,"tree, wood","ボク, モク; き, こ-","材木 (ざいもく·0) = lumber, timber; 樹木 (じゅもく·1) = trees and shrubs, arbour, arbor; 木ノ葉 (きのは·1) = foliage, leaves of trees; 木材 (もくざい·2,0) = lumber, timber, wood; 木造 (もくぞう·0) = wooden, made of wood",木が倒れた。,,木(き) が 倒れる,,
本,"book, present, main, true, real, counter for long cylindrical things",ホン; もと,"本の (ほんの·0) = mere, only, just; 絵本 (えほん·2) = picture book; 基本 (きほん·0) = foundation, basis, standard; 脚本 (きゃくほん·0) = script, screenplay, scenario; 見本 (みほん·0) = sample",本気？,,本気,一 木,"鉢,柾,査"
来,"come, due, next, cause, become","ライ, タイ; く.る, きた.る, きた.す, き.たす, き.たる, き, こ","以来 (いらい·1) = since, henceforth; 外来語 (がいらいご·0) = borrowed word, foreign origin word; 元来 (がんらい·1) = originally, primarily, essentially, logically, naturally; 再来年 (さらいねん·0) = year after next; 従来 (じゅうらい·1) = up to now, so far, traditional, existing (eg equipment)",来い！,,Come!,｜ 二 米 亠 木,"未,妹,味"
東,east,トウ; ひがし,"東 (ひがし·0,3) = east; 東欧 (とうおう·0) = Eastern Europe; 東西 (とうざい·1) = East and West, whole country, Western and Eastern; 東部 (とうぶ·1) = eastern part; 東洋 (とうよう·1) = Orient",東京駅なう。,,I'm at Tokyo Station now.,｜ 一 日 木 田,"棟,陳,欄"
校,"exam, school, printing, proof, correction","コウ, キョウ","学校 (がっこう·0) = school; 休校 (きゅうこう·0) = closing school (temporarily), dropping one's studies; 校舎 (こうしゃ·1) = school building; 校則 (こうそく·0) = school regulations; 校長 (こうちょう·0) = principal, headmaster",学校だよ。,,I'm at school.,父 木 亠,"交,衣,森"
母,"mama, mother","ボ; はは, も","御母さん (おかあさん·2) = mother; 義母 (ぎぼ·1) = mother-in-law, foster mother, step mother; 祖母 (うば·1) = grandmother; 父母 (ちちはは·2,1) = father and mother, parents; 分母 (ぶんぼ·1) = denominator",母は留守です。,,母(はは) は 留守 です,毋,"毎,海,梅"
毎,every,"マイ; ごと, -ごと.に","毎週 (まいしゅう·0) = every week; 毎朝 (まいちょう·0) = every morning; 毎度 (まいど·0) = each time, thank you for your continued patronage; 毎日 (まいにち·1) = every day; 毎晩 (まいばん·1,0) = every night",平凡な毎日さ。,,I live an ordinary life.,母 毋 乞,"海,梅,敏"
気,"spirit, mind, air, atmosphere, mood","キ, ケ; いき","意気地 (いきじ·1,0) = self-respect, self-confidence, guts, backbone; 陰気 (いんき·(名)1,(形動)0) = gloom, melancholy; 外気 (がいき·1) = open air; 活気 (かっき·0) = energy, liveliness; 寒気 (かんき·1) = chill, the shivers, shivering fit, cold, coldness, cold air",元気？,,元気,气 丶 ノ 乞,"竹,汽,旅"
水,water,"スイ; みず, みず-","下水 (げすい·0) = drainage, ditch, gutter, sewerage, sewage, black water; 海水 (かいすい·0) = ocean water; 海水浴 (かいすいよく·3) = sea bathing, seawater bath; 洪水 (こうずい·0,1) = flood; 降水 (こうすい·0) = rainfall, precipitation",水に流す。,,水(みず) に 流す,,
火,fire,"カ; ひ, -び, ほ-","火 (ひ·1) = fire, flame, blaze; 火花 (ひばな·1) = spark; 火災 (かさい·0) = conflagration, fire; 火山 (かざん·1) = volcano; 火事 (かじ·1) = fire, conflagration",火を消せ。,,火(ひ) を 消す,,
父,father,フ; ちち,"御父さん (おとうさん·2) = father; 義父 (ぎふ·1) = father-in-law, foster father, stepfather; 神父 (しんぷ·1) = Catholic priest, abbe; 祖父 (そぶ·1) = grandfather, old man; 父 (ちち·2,1) = father",彼は父親似だ。,,彼(かれ) は 父親 似 だ,,
生,"life, genuine, birth","セイ, ショウ; い.きる, い.かす, い.ける, う.まれる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","生す (なす·1) = to build up, to establish, to form, to become (a state), to accomplish; 衛生 (えいせい·0) = health, hygiene, sanitation, medical; 往生 (おうじょう·1) = death, passing to the next life; 学生 (がくせい·0) = student (esp. a university student)",学生？,,Are you a student?,,
男,male,"ダン, ナン; おとこ, お","二男 (じなん·1) = second son; 男 (おとこ·3) = man; 男の児 (おとこのコ·3) = boy, male child, baby boy; 男らしい (おとこらしい·5) = manly; 男子 (だんし·1) = youth, young man",私は男だ。,,私(わたし) は 男 だ,田 力,"勇,湧,虜"
白,white,"ハク, ビャク; しろ, しら-, しろ.い","明白 (あからさま·0,3) = obvious, overt, cleat, plain, frank; 空白 (くうはく·0) = blank space, vacuum, space, null (NUL); 潔白 (けっぱく·0) = innocence (i.e. not guilty), purity, uprightness; 紅白 (こうはく·1) = red and white, colours for festive or auspicious occasions (colors); 告白 (こくはく·0) = confession, acknowledgement, acknowledgment, profession of love, confession of sins (eg the confessional)",場が白けた。,,場(ば) が 白ける,,
百,hundred,"ヒャク, ビャク; もも","何百 (なんびゃく·1) = hundreds; 八百屋 (やおや·0) = greengrocer; 百 (もも·1) = 100, hundred; 百貨店 (ひゃっかてん·3,0) = (department) store(s); 百姓 (ひゃくしょう·3) = farmer, peasant, country bumpkin, farming, the common people",五十歩百歩。,,Scant difference.,一 白,"憂,優,迫"
目,"eye, class, look, insight, experience, care, favor","モク, ボク; め, -め, ま-","ひと目 (いちもく) = (a) glance, (a) look, (a) glimpse, bird's-eye view; 引け目 (ひけめ·0) = weakness, drawing back; 項目 (こうもく·0) = item, data item; 不見目 (みじめ·1) = miserable, wretched, unhappy, sad, pitiable; 種目 (しゅもく·0,1) = event, item of business",恋は盲目。,,Love is blind.,,
社,"company, firm, office, association, shrine",シャ; やしろ,"会社 (かいしゃ·0) = company, corporation; 支社 (ししゃ·1) = branch office; 社員 (しゃいん·1) = company employee, members of a corporation; 社会 (しゃかい·1) = society, public; 社会科学 (しゃかいかがく·4) = social science",明日会社でね。,,明日 会社 で(#2028980) ね(#2029080),土 礼,"走,赤,圭"
空,"empty, sky, void, vacant, vacuum","クウ; そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい","架空 (かくう·0) = aerial, overhead, fiction, fanciful; 空 (から·2) = emptiness, vacuum, blank; 空地 (くうち·0) = vacant land; 空っぽ (からっぽ·0) = empty, vacant, hollow; 空間 (くうかん·0) = space, room, airspace",空っぽだ。,,It's empty.,穴 工 儿 宀,"控,突,究"
立,stand up,"リツ, リュウ, リットル; た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","確立 (かくりつ·0) = establishment; 顔立ち (かおだち·0) = looks, features; 起立 (きりつ·0) = standing up; 逆立ち (さかだち·0) = handstand, headstand; 献立 (こんだて·0) = menu, program, programme, schedule",起立！,,Stand up!,,
耳,ear,ジ; みみ,"耳 (みみ·2) = ear, hearing, edge, crust, selvedge (non-fray machined edge of fabrics), selvage; 耳障り (みみざわり·3) = hurting one's ears; 耳鼻科 (じびか·0) = otolaryngology, concerning the ear, nose, and throat; 耳許 (みみもと·0,3) = close to the ear",初耳ですね。,,初耳 です ね(#2029080),,
聞,"hear, ask, listen","ブン, モン; き.く, き.こえる","見聞 (けんもん·0) = information, observation; 新聞 (しんぶん·0) = newspaper; 新聞社 (しんぶんしゃ·3) = newspaper company; 聞かす (きかす·0) = to inform about, to read to, to sing for; 聞き取り (ききとり·0) = listening comprehension",新聞どこ？,,新聞 何処,耳 門,"間,閑,耶"
花,flower,"カ, ケ; はな","火花 (ひばな·1) = spark; 花瓣 (かべん·0) = (flower) petal; 花嫁 (はなよめ·2) = bride; 花見 (はなみ·3) = cherry blossom viewing, flower viewing; 花束 (はなたば·2,3) = bunch of flowers, bouquet",花は咲く。,,花 は 咲く,化 匕 艾,"老,化,靴"
