kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
元,"beginning, origin","ゲン, ガン; もと","元々 (もともと·0) = originally, by nature, from the start; 元気 (げんき·1) = health, spirit; 耳元 (みみもと·0,3) = close to the ear; 地元 (じもと·0,3) = local; 元日 (がんじつ·0) = new year's day",元気？,,元気,二 儿,"発,廃,完"
兄,elder brother,"ケイ, キョウ; あに","お兄さん (おにいさん·2) = (someone else's) elder brother; 兄 (あに·1) = (your own) elder brother; 父兄 (ふけい·2,1) = guardians, parents and older brothers",兄がいます。,,兄(あに) が 居る(いる),口 儿,"競,祝,況"
光,"ray, light","コウ; ひか.る, ひかり","光 (ひかり·3) = light; 光る (ひかる·2) = to shine, to be bright; 電光 (でんこう·0) = lightning; 月光 (げっこう·0) = moonlight; 日光 (にっこう·1) = sunlight, Nikko (place name)",光は闇を貫く。,,光 は 闇 を 貫く,一 尚 儿,"晃,輝,甚"
写,"copy, describe","シャ; うつ.す, うつ.る","写す (うつす·2) = to copy, to duplicate; 写し (うつし·3) = copy, fax, transcript; 写真 (しゃしん·0) = photograph; 生き写し (いきうつし·0,3) = lifelike, exact resemblance; 写真屋 (しゃしんや·0) = photo studio, photographer",写真を撮ろう。,,写真を撮る,一 冖 勹,"畳,朽,巧"
冬,winter,トウ; ふゆ,"冬 (ふゆ·2) = winter; 冬場 (ふゆば·0) = winter season; 冬物 (ふゆもの·0) = winter clothing; 冬日 (ふゆび·0,2) = the winter sun",冬は去った。,,冬 は 去る,夂 丶 攵,"柊,条,各"
切,"cut, be sharp","セツ, サイ; き.る, き.れる","切る (きる·1) = to cut, to chop; 大切 (たいせつ·0) = important, valuable; 切手 (きって·0) = postage stamp; 親切 (しんせつ·1,0) = kind, gentle; 不親切 (ふしんせつ·2) = unkindness, unfriendliness; 思い切り (おもいきり·0) = with all one's strength (heart)",ご親切に。,,ご親切に,刀 匕,"老,化,初"
別,"separate, another, extra","ベツ; わか.れる, わ.ける","別 (べつ·0) = another, particular; 別に (べつに·0) = (not) particularly, nothing; 別々に (べつべつに) = separately, individually; 特別 (とくべつ·0) = special; 別れる (わかれる·3) = to be divided, to part from; 別名 (べつめい·0) = alias, pseudonym",それは別問題だ。,,其れ は 別問題 だ,刈 口 力 勹,"句,加,舌"
力,"power, strength","リョク, リキ; ちから","力 (ちから·3) = force, strength, energy; 電力 (でんりょく·1,0) = electric power; 全力 (ぜんりょく·0) = all one's power; 力持ち (ちからもち·3) = muscle man, strong man; 有力者 (ゆうりょくしゃ·3,4) = influential person; 力士 (りきし·1,0) = Japanese sumo wrestler, strongman; 力作 (りきさく·0) = literary or artistic masterpiece; 馬力 (ばりき·0) = horse-power, h.p; 水力 (すいりょく·1) = hydraulic power",全力でやれ。,,全力 で(#2028980) 遣る,,
勉,exertion,ベン,"勉強 (べんきょう·0) = study, diligence; 勉学 (べんがく·0) = study, pursuit of knowledge; 不勉強 (ふべんきょう·2) = idleness, lack of application",勉強するな。,,勉強 な,力 免 儿 勹,"晩,逸,勘"
動,"move, motion, change","ドウ; うご.く, うご.かす","動く (うごく·2) = to move; 動物 (どうぶつ·0) = animal; 自動 (じどう·0) = automatic, self-motion; 手動 (しゅどう·0) = manual; 不動 (ふどう·0,1) = immobility, motionless",動かないで！,,動く,｜ 一 日 力 里 ノ,"重,勲,働"
区,"section, area, zone",ク,"区 (く·1) = ward, district, section; 区別 (くべつ·1) = distinction, differentiation, classification; 区間 (くかん·1,2) = section (of track etc); 区切る (くぎる·2) = to punctate, to cut off, to put an end to; 区々 (まちまち·2,0) = (1) several, various, (2) trivial",彼は善悪の区別がない。,,彼(かれ) は 善悪の区別 が 無い,匚 丶 ノ,"欧,駆,殴"
医,"doctor, medicine",イ,"医者 (いしゃ·0) = doctor (medical); 医学 (いがく·1) = medical science, medicine; 医大 (いだい·0) = medical university, medical school; 医院 (いいん·1) = doctor's office (surgery), clinic; 医薬品 (いやくひん·0) = medical supplies",彼は医者だ。,,彼(かれ) は 医者 だ,矢 匚 乞,"臣,竹,巨"
去,"leave, gone, past","キョ, コ; さ.る","死去 (しきょ·1,2) = death; 去る (さる·1) = to leave, to go away; 去年 (きょねん·1) = last year; 去来 (きょらい·0) = coming and going; 連れ去る (つれさる·3) = to take away",冬は去った。,,冬 は 去る,土 厶,"至,法,却"
台,"stand, pedestal, counter for machines/vehicles","ダイ, タイ; うてな","台 (だい·1) = stand, rack; 台風 (たいふう·3) = typhoon; 台所 (だいどころ·0) = kitchen; 高台 (たかだい·0) = elevation, high ground; 一台 (いちだい·2) = one machine, one vehicle",台所にいます。,,台所 に 居る(いる),口 厶,"胎,治,怠"
合,"fit, suit, join","ゴウ, ガッ, カッ; あ.う, あ.わせる","合う (あう·1) = to fit, to suit, to match; 試合 (しあい·0) = match, tournament; 会合 (かいごう·0) = meeting; 合理 (ごうり·1) = rational, consistent; 似合う (にあう·2) = to suit, to match; 不合理 (ふごうり·2) = unreasonable, irrational, inconsistent",具合悪いの？,,具合 悪い(わるい) の,口 个 一,"含,吟,拾"
同,"same, agree, equal",ドウ; おな.じ,"同じ (おなじ·0) = same, similar; 同時 (どうじ·0,1) = simultaneously, concurrent, same time; 同然 (どうぜん·0) = similar to, natural, just; 同意 (どうい·0) = agreement, consent, approval; 同じよう (おなじよう) = similarly",ご同様に。,,御(ご) 同様に,口 冂 一,"銅,胴,洞"
味,"flavour, taste","ミ; あじ, あじ.わう","味 (あじ·0) = taste, flavour; 意味 (いみ·1) = meaning, significance; 地味 (じみ·2) = plain, simple; 持ち味 (もちあじ·2,0) = inherent flavour, distinctive characteristic,; 味わう (あじわう·3,0) = to taste, to savour, to relish",後味が悪い。,,後味 が 悪い(わるい),｜ 口 二 ハ 木 亠,"未,妹,来"
品,"goods, refinement, dignity",ヒン; しな,"品物 (しなもの·0) = goods, article, thing; 部品 (ぶひん·0) = parts, accessories; 上品 (じょうひん·3) = refined, elegant, polished; 品名 (ひんめい·0) = product name; 手品 (てじな·1) = trick, magic, juggling",返品お断り。,,返品 お断わり,口,"舌,石,邑"
員,"employee, member",イン,"店員 (てんいん·0) = shop assistant, employee; 工員 (こういん·0) = factory worker; 楽員 (がくいん·0) = band member; 駅員さん (えきいんさん) = station attendant; 工作員 (こうさくいん·4) = crafstman, handicraft worker",乗組員が多い。,,乗組員 が 多い,貝 目 ハ 口,"唄,賠,賀"
問,"question, ask, problem","モン; と.う, と.い, とん","問題 (もんだい·0) = problem, question; 不問 (ふもん·0) = ignorance; 自問 (じもん·0) = asking oneself",よい質問だ。,,良い 質問 だ,口 門,"閣,閲,舌"
回,"-times, round, counter for occurrences","カイ, エ; まわ.る, まわ.す","回 (かい·1) = counter for occurrences; 回る (まわる·0) = to turn, to revolve, to visit several places; 何回 (なんかい·1) = how many times?; 乗り回す (のりまわす·4,3) = to ride/drive around",回れ右！,,回る(まわる) 右,口 囗,"固,舌,石"
図,"map, drawing, plan","ズ, ト; はか.る","図 (ず·0) = drawing, picture, illustration; 地図 (ちず·1) = map; 意図 (いと·1) = intention, aim, design; 合図 (あいず·1) = sign, signal; 図書館 (としょかん·2) = library",図星ですか？,,図星 ですか,斗 囗,"口,科,料"
地,"ground, earth","チ, ジ","地 (ち·1) = earth; 地下 (ちか·1,2) = basement, underground; 地図 (ちず·1) = map; 地味 (じみ·2) = plain, simple; 地名 (ちめい·0) = place name; 地上 (ちじょう·0) = above ground",土地を耕す。,,土地 を 耕す,土 也,"走,赤,圭"
堂,"public chamber, hall",ドウ,"堂 (どう·1,0) = temple, shrin, hall; 堂々 (どうどう·0,3) = magnificent, impressive; 会堂 (かいどう·0) = church, chapel; 本堂 (ほんどう·1) = main temple building",堂々としなさい。,,堂々 為る(する) 為さい,口 尚 土 冖,"吐,掌,常"
場,"location, place",ジョウ; ば,"場 (ば·0) = place; 立場 (たちば·3,1) = standpoint, position, situation; 工場 (こうじょう·3) = factory, plant, mill; 広場 (ひろば·1) = plaza; 式場 (しきじょう·0) = place of ceremony (eg wedding); 酒場 (さかば·0,3) = bar, bar room",入場無料。,,入場 無料,土 日 一 勿,"垣,晋,旦"
声,"voice, sound","セイ, ショウ; こえ, こわ","声 (こえ·1) = voice; 声楽 (せいがく·0) = vocal music; 小声 (こごえ·0) = soft voice, whisper; 話し声 (はなしごえ·4) = speaking voice; 金切り声 (かなきりごえ·5) = shrill voice, piercing cry, scream",鼻声だね。,,鼻声 だ ね(#2029080),士 尸,"馨,戸,志"
売,sell,"バイ; う.る, う.れる","売る (うる·0) = to sell; 発売 (はつばい·0) = sale; 売り出す (うりだす·3) = to market, to put on sale; 売り場 (うりば·0) = place where things are sold, counter; 売り物 (うりもの·0) = article for sale, For Sale",商売は商売。,,商売 は 商売,士 儿 冖,"読,続,壱"
夏,summer,"カ, ゲ; なつ","夏 (なつ·2) = summer; 夏休み (なつやすみ·3) = summer holiday; 夏時間 (なつじかん·3) = summer time, daylight savings time; 夏場 (なつば·0) = summertime",夏が来た。,,夏(なつ) が 来る(くる),一 自 夂 目,"且,自,憂"
夕,evening,セキ; ゆう,"夕べ (ゆうべ·3,0) = evening; 七夕 (たなばた·0) = Star Festival; 夕方 (ゆうがた·0) = evening; 夕飯 (ゆうはん·0) = evening meal",夕方の五時です。,,夕方 の 五 時(とき) です,,
夜,"night, evening","ヤ; よ, よる","夜 (よる·1) = evening; 今夜 (こんや·1) = tonight, this evening; 夜学 (やがく·0) = night school, evening classes; 夜空 (よぞら·1) = night sky",夜だった。,,夜 だ,化 夕 亠,"液,衣,多"
太,"thick, plump","タイ, タ; ふと.い, ふと.る","太い (ふとい·2) = thick; 太る (ふとる·2) = to be on the heavy side; 太字 (ふとじ·0) = bold type, thick characters; 先太 (さきぶと·0) = thicker towards the end, club-shaped",笑って太れ。,,笑う 太る,大 丶,"犬,汰,駄"
好,"like something, pleasing","コウ; この.む, す.く, よ.い","好き (すき·2) = to like; 好意 (こうい·1) = good will, favour; 好む (このむ·2) = to like, to prefer; 好色 (こうしょく·0) = lust, sensuality, lewdness; 好都合 (こうつごう·3) = convenient, favourable",君が好きだ。,,君(きみ) が 好き(すき) だ,子 女,"要,李,安"
妹,younger sister,マイ; いもうと,妹 (いもうと·4) = younger sister; 姉妹 (しまい·1) = sisters; 妹川 (いもがわ) = Imogawa; 姉妹会社 (しまいがいしゃ) = sister companies; 姉妹都市 (しまいとし·4) = sister cities,妹さんは元気？,,妹さん は 元気,｜ 女 二 ハ 木 亠,"未,味,来"
姉,elder sister,シ; あね,姉 (あね·0) = (your own) older sister; 姉妹 (しまい·1) = sisters; お姉さん (おねえさん·2) = (someone elses) older sister,姉妹はいますか？,,姉妹 は 居る(いる) か,巾 女 亠,"市,衣,亡"
始,"commence, begin","シ; はじ.める, はじ.まる","始める (はじめる·0) = to start, to begin; 年始 (ねんし·1) = new year; 始業 (しぎょう·0) = start work, commencement, opening; 始終 (しじゅう·1) = continuously, from beginning to end",よし始め。,,よし 始める,口 女 厶,"如,台,舌"
字,"character, letter, word","ジ; あざ, あざな, -な","字 (じ·1) = character, letter, word; 漢字 (かんじ·0) = kanji, chinese characters; 赤字 (あかじ·0) = deficit, in the red; 名字 (みょうじ·1) = surname, family name; ローマ字 (ロマー字·3,0) = romanization, romaji",商売は赤字だ。,,商売 は 赤字 だ,子 宀,"李,家,定"
室,"room, apartment",シツ; むろ,室 (しつ·2) = room; 教室 (きょうしつ·0) = classroom; 室内 (しつない·2) = in the room,緊急室へ。,,緊急 室(しつ) へ,至 土 厶 宀,"窒,去,屋"
家,"house, home","カ, ケ; いえ, うち, や","家 (いえ·2) = house, one's home; 家族 (かぞく·1) = family; 作家 (さっか·0) = writer, author; 画家 (がか·0) = painter, artist; 家事 (かじ·1) = housework, chores",家が火事だ。,,家(いえ) が 火事 だ,宀 豕,"稼,嫁,逐"
寒,cold,カン; さむ.い,"寒い (さむい·2) = cold (weather); 寒がり (さむがり·3,4) = senstive to cold; 悪寒 (おかん·0) = chill, shakes",かなり寒い。,,可也 寒い,一 ハ 宀 丶 井,"異,寅,八"
屋,"house, roof, shop",オク; や,"小屋 (こや·2,0) = hut, cabin, shed; 屋上 (おくじょう·0) = rooftop; 料理屋 (りょうりや·3) = restaurant; 屋外 (おくがい·2) = outdoors; 屋内 (おくない·2) = indoors; 飲み屋 (のみや·2) = bar, pub",餅は餅屋。,,餅(もち) は 餅屋,至 土 厶 尸,"渥,握,去"
工,"craft, construction","コウ, ク","工場 (こうじょう·3) = factory, workshop; 人工 (じんこう·0) = artificial, man-made; 工学 (こうがく·0,1) = engineering; 木工 (もっこう·0) = woodworking, woodworker; 工員 (こういん·0) = factory worker",「道路工事中」,,道路 工事中,,
市,"city, town",シ; いち,"市 (し·1) = city, town; 市民 (しみん·1) = citizen, townspeople; 市内 (しない·1) = within a city; 市部 (しぶ·1) = urban areas",大都市は嫌いです。,,大都市 は 嫌い です,巾 亠,"肺,姉,衣"
帰,return,"キ; かえ.る, かえ.す","帰る (かえる·1) = to return, to go back, to go home; 帰す (かえす·1) = to send back; お帰り (おかえり·0) = return, welcome; 持ち帰り (もちかえり·0) = takeout (ie food)",家に帰るよ。,,家(いえ) に 帰る よ,ヨ 刈 巾 冖,"掃,婦,滞"
広,"wide, broad, spacious","コウ; ひろ.い, ひろ.める, ひろ.まる, ひろ.げる, ひろ.がる","広い (ひろい·2) = spacious, wide; 広める (ひろめる·3) = to broaden, to propogate; 広場 (ひろば·1) = plaza; 広大 (こうだい·0) = huge, very large",広いな！,,広い な,厶 广,"鉱,拡,魔"
度,"degrees, occurrence","ド, タク, ト; たび","何度 (なんど·1) = how many times? how often?; 度 (ど·0) = counter for occurrences; 度合い (どあい·0) = extent, degree; 強度 (きょうど·1) = strength, intensity; 一度に (いちどに·3) = all at once",また、今度な！,,又 今度,又 广 一 凵,"席,皮,凹"
建,build,"ケン, コン; た.てる, た.つ","建物 (たてもの·2,3) = building; 建てる (たてる·2) = to build, to construct; 建前 (たてまえ·0,3,2) = official stance, public position",あの建物を見て。,,彼の(あの) 建物 を 見る,廴 聿,"健,津,書"
引,"pull, tug, quote, refer to","イン; ひ.く, ひ.ける","引く (ひく·0) = to pull; 引き出す (ひきだす·3) = to pull out, to withdraw; 引き出し (ひきだし·0) = drawer; 引用 (いによう·0) = quotation, citation; 手引書 (てびきしょ·0,4) = handbook, manual, guide",引き返そう。,,引き返す,｜ 弓,"弔,沸,弟"
弟,younger brother,"テイ, ダイ, デ; おとうと","弟 (おとうと·4) = younger brother; 子弟 (してい·2,1) = younger people; 弟妹 (ていまい·0) = younger brother and sister; 兄弟 (きょうだい·1) = siblings",弟のです。,,弟 のです,｜ ノ 弓 并,"悌,引,弔"
弱,"weak, frail","ジャク; よわ.い, よわ.る, よわ.める","弱い (よわい·2) = weak, frail, delicate; 弱者 (じゃくしゃ·1) = the weak; 弱み (よわみ·3) = weakness; 弱虫 (よわむし·2) = weakling, coward; 弱気 (よわき·0) = timid, faint-hearted",地理は弱い。,,地理 は 弱い,弓 冫,"羽,次,張"
強,strong,"キョウ, ゴウ; つよ.い, つよ.める, し.いる","強い (つよい·2) = strong; 強まる (つよまる·3) = to get strong; 勉強 (べんきょう·0) = study, diligence; 強気 (つよき·0) = firm, strong; 強引 (ごういん·0) = overbearing, coercive, pushy",彼は強い。,,彼(かれ) は 強い(つよい),弓 虫 厶,"弘,触,蛮"
待,wait,タイ; ま.つ,"待つ (まつ·1) = to wait; 待合 (まちあい·0) = meeting place; 心待ち (こころまち·0,5) = anticipation, expectation",待ってあげる。,,待つ 上げる,寸 土 彳,"封,寺,走"
心,"heart, mind, spirit",シン; こころ,"心 (こころ·3,2) = heart, mind, spirit; 安心 (あんしん·0) = relief, peace of mind; 心理学 (しんりがく·3) = psychology; 心中 (しんちゅう·1,0) = in one's heart, true motives; 心地 (ここち·0) = feeling, sensation, mood",始めが肝心。,,初め が 肝心,,
思,think,シ; おも.う,"思う (おもう·2) = to think, to feel; 思い (おもい·2) = thought; 思い出す (おもいだす·4,0) = to recall, to remember; 思わず (おもわず·2) = spontaneous, unintentional",どう思う？,,如何(どう) 思う,心 田,"恵,偲,穂"
急,"hurry, sudden",キュウ; いそ.ぐ,"急 (きゅう·0) = urgent, sudden, steep; 急ぐ (いそぐ·2) = to hurry, to rush; 急行 (きゅうこう·0) = express train; 急死 (きゅうし·0) = sudden death",緊急室へ。,,緊急 室(しつ) へ,ヨ 心 勹,"穏,浄,慧"
悪,"bad, evil, wrong","アク, オ; わる.い","悪い (わるい·2) = bad, inferior; 最悪 (さいあく·0) = the worst; 悪質 (あくしつ·0) = bad quality; 悪さ (わるさ·1) = badness",悪かった。,,悪い(わるい),｜ 一 口 心,"忠,亜,中"
意,"idea, mind, thought",イ,"意味 (いみ·1) = meaning; 意見 (いけん·1) = opinion, view; 注意 (ちゅうい·1) = caution, being careful; 意外 (いがい·0,1) = unexpected, surprising; 民意 (みんい·1) = popular will",スリに注意。,,掏摸 に 注意,音 心 日 立,"憶,億,暗"
所,place,ショ; ところ,"所 (ところ·0) = place; 場所 (ばしょ·0) = place, location; 研究所 (けんきゅうじょ·0,5) = research place, laboratory; 住所 (じゅうしょ·1) = address, residence; 高所 (こうしょ·1) = heights, high altitude",この場所に？,,此の 場所 に,斤 戸 一 尸,"戸,丘,雇"
持,"hold, have",ジ; も.つ,"持つ (もつ·1) = to have, to hold, to carry; 気持ち (きもち·0) = feeling, sensation, mood; 持ち出す (もちだす·0,3) = to take out; 持ち味 (もちあじ·2,0) = inherent flavour, distinctive characteristic; 持ち帰る (もちかえる·3,0) = to carry back/home, to take out (food)",彼は金持ちだ。,,彼(かれ) は 金持ち だ,寸 土 扎,"封,寺,走"
教,"teach, faith","キョウ; おし.える, おそ.わる","教える (おしえる·0) = to teach, to inform; 教え (おしえ·0) = teaching, lesson; 文教 (ぶんきょう·0) = education",彼は教師です。,,彼(かれ) は 教師 です,子 老 攵 乞,"竹,敦,酵"
文,"sentence, literature, decoration","ブン, モン; ふみ","文 (ぶん·1) = sentence; 文学 (ぶんがく·1) = literature; 文書 (ぶんしょ·1) = document, writings, paperwork, records; 注文 (ちゅうもん·0) = order, request; 文学者 (ぶんがくしゃ·3,4) = literary person",文は人なり。,,文(ぶん) は 人(ひと) 也,,
料,"fee, materials",リョウ,"料理 (りょうり·1) = cooking, cuisine; 料金 (りょうきん·1) = fee, charge; 料理屋 (りょうりや·3) = restaurant; 試料 (しりょう·1) = sample, test piece",入場無料。,,入場 無料,斗 米,"迷,粒,科"
方,"direction, person, alternative","ホウ; かた, -かた, -がた","方 (かた·2) = (1) person, (2) way of doing; 考え方 (かんがえかた·5,6) = way of thinking; 見方 (みかた·3,2) = viewpoint; 味方 (みかた·0) = friend, person on side",嘘も方便。,,嘘 も 方便(ほうべん),,
旅,"trip, travel",リョ; たび,"旅 (たび·2) = travel, trip, journey; 旅行 (りょこう·0) = travel, trip; 旅館 (りょかん·0) = Japanese-style hotel; 旅人 (たびびと·0) = traveller; 旅先 (たびさき·0) = destination, goal",安全な旅を。,,安全 旅(たび) を,ノ 方 乞,"施,竹,族"
族,"tribe, family",ゾク,"家族 (かぞく·1) = family, members of family; 民族 (みんぞく·1) = people, race; 水族館 (すいぞくかん·4,3) = aquarium; 王族 (おうぞく·0) = royalty",彼は大家族だ。,,彼(かれ) は 大家族 だ,方 矢 乞,"竹,知,疾"
早,"early, fast","ソウ, サッ; はや.い, はや-, はや.める","早い (はやい·2) = early; 早める (はやめる·3) = to quicken, to expedite; 早口 (はやくち·2) = fast talking; 早起き (はやおき·2,3) = early rising",早く来い。,,早く 来る(くる),十 日,"草,朝,卓"
明,"bright, light","メイ, ミョウ, ミン; あか.るい, あ.ける, あ.く, あ.くる, あ.かす","明るい (あかるい·0,3) = bright, cheerful; 説明 (せつめい·0) = explanation; 不明 (ふめい·0) = unknown, ambiguous; 明日 (あした·3) = tomorrow; 発明 (はつめい·(名)0,(形動)2) = invention",また明日。,,また明日,月 日,"萌,脂,胆"
映,"reflect, reflection, projection","エイ; うつ.る, うつ.す, は.える","映画 (えいが·1,0) = movie, film; 映る (うつる·2) = to be reflected, to harmonize with; 映画館 (えいがかん·3) = movie theatre, cinema; 映える (はえる·2) = to shine, to look attractive, to look pretty",映画に行くの？,,映画 に 行く の,ノ 日 大 冖,"英,央,瑛"
春,spring,シュン; はる,春 (はる·1) = spring,今年は春が遅い。,,今年 は 春 が 遅い,一 二 日 人 大,"椿,天,亘"
昼,"daytime, noon",チュウ; ひる,"昼食 (ちゅうしょく·0) = lunch, midday meal",お昼にね。,,お昼 に ね(#2029080),一 日 尸 丶,"晋,旦,戸"
暑,hot,ショ; あつ.い,暑い (あつい·2) = hot; 暑さ (あつさ·1) = heat; 暑中 (しょちゅう·0) = mid-summer,今日は暑い。,,今日 は 暑い,日 老,"者,都,諸"
暗,"darkness, disappear",アン; くら.い,"暗い (くらい·0) = dark, gloomy; 真っ暗 (まっくら·3) = total darkness, pitch dark; 暗に (あんに·1) = implicitly",外は暗い。,,外(そと) は 暗い,音 日 立,"章,意,音"
曜,weekday,ヨウ,曜日 (ようび·0) = day of week; 木曜日 (もくようび·3) = thursday; 火曜日 (かようび·2) = tuesday; 水曜日 (すいようび·3) = wednesday,土曜日だよ。,,土曜日 だ よ,ヨ 日 隹,"晶,昌,燿"
有,"possess, have, exist","ユウ, ウ; あ.る","有名 (ゆうめい·0) = famous; 有用 (ゆうよう·0) = useful, helpful; 有事 (ゆうじ·1) = emergency",それは有難い。,,其れ は 有り難い,ノ 一 月,"郁,宥,侑"
服,clothing,フク,服 (ふく·2) = clothes; 洋服 (ようふく·0) = western clothes,いい服を買え。,,いい 服(ふく) を 買う,月 又 卩,"皮,朋,卯"
朝,"morning, period",チョウ; あさ,"朝 (あさ·1) = morning; 毎朝 (まいあさ·1,0) = every morning; 朝日 (あさひ·1) = morning sun; 朝食 (ちょうしょく·0) = breakfast (formal); 朝ご飯 (あさご飯·3) = breakfast; 今朝 (けさ·1) = this morning",あなたは朝型？,,貴方(あなた) は 朝型,月 十 日,"潮,明,早"
村,"town, village",ソン; むら,村 (むら·2) = village; 山村 (さんそん·0) = mountain village; 村人 (むらびと·0) = villager,村には娯楽がない。,,村 には 娯楽 が 無い,寸 木,"森,林,樹"
林,forest,リン; はやし,"林 (はやし·3,0) = woods, forest; 森林 (しんりん·0) = forest; 林業 (りんぎょう·1,0) = forestry",林に竹が目立つ。,,林 に 竹 が 目立つ,木,"森,麻,集"
森,"forest, woods",シン; もり,森 (もり·0) = forest; 森林 (しんりん·0) = forest,彼は森で迷った。,,彼(かれ) は 森 で(#2028980) 迷う,木,"林,麻,集"
