kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
恋,"romance, in love, yearn for, miss, darling","レン; こ.う, こい, こい.しい","失恋 (しつれん·0) = disappointed love, broken heart, unrequited love, being lovelorn; 初恋 (はつこい·0) = first love, puppy love; 悲恋 (ひれん·0,1) = blighted love, disappointed love; 恋しい (こいしい·3) = dear, beloved, darling, yearned for; 恋愛 (れんあい·0) = love, love-making, passion, emotion, affections",恋かな？,,恋 かな,心 ハ 亠,"六,衣,八"
列,"file, row, rank, tier, column","レツ, レ","列記 (れっき·1,0) = list; 一列 (いちれつ·2) = (a) row, line; 下り列車 (くだりれっしゃ·4) = trains going away from the capital, down train; 系列 (けいれつ·0) = series, sequence, system, order of succession, grouping of enterprises; 後列 (こうれつ·1) = rear, back row",さあ列車がきた。,,さあ 列車 が 来る(くる),刈 歹,"烈,例,裂"
歴,"curriculum, continuation, passage of time","レキ, レッキ","学歴 (がくれき·0) = academic background; 経歴 (けいれき·0) = personal history, career; 前歴 (ぜんれき·0) = personal history; 遍歴 (へんれき·0) = travels, pilgrimage, itinerancy; 来歴 (らいれき·0) = history, career",歴史は繰り返す。,,歴史 は 繰り返す,止 麻 木 厂 广,"暦,麻,床"
齢,age,"レイ; よわ.い, とし","加齢 (かれい·0) = adding to one's years; 学齢 (がくれい·0) = school age; 高齢 (こうれい·0) = advanced (old) age; 樹齢 (じゅれい·0) = age of a tree; 年齢層 (ねんれいそう·3) = age range, age-group",相当高齢である。,,相当 高齢 である,止 歯 米 个 凵 卩 一,"歯,令,企"
零,"zero, spill, overflow, nothing, cipher","レイ; ぜろ, こぼ.す, こぼ.れる","取零す (とりこぼす·4,5,0) = to lose an easy game, to suffer an unexpected defeat, to lose information (computers); 零 (れい·1) = zero, nought; 零下 (れいか·1) = below zero, sub-zero; 零細 (れいさい·0) = insignificant, trifling, paltry; 零時 (れいじ·1) = 12 o'clock (midnight)",今は零下１０度だ。,,今(いま) は 零下 度(#1445160) だ,雨 个 卩 一,"澪,令,今"
礼,"salute, bow, ceremony, thanks, remuneration","レイ, ライ","一礼 (いちれい·0) = bow (salute, greeting); 儀礼 (ぎれい·0) = etiquette, courtesy; 儀礼的 (ぎれいてき·0) = formal, courteous; 虚礼 (きょれい·0) = empty (useless) formalities; 敬礼 (けいれい·0) = salute",どうも失礼。,,どうも 失礼,乙,"犯,札,巴"
冷,"cool, cold (beer, person), chill","レイ; つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます","花冷え (はなびえ·0) = chilly spring weather; 寒冷 (かんれい·0) = cold, coldness, chilliness; 空冷 (くうれい·0) = air cooling; 保冷 (ほれい·0) = keep cool; 冷え (ひえ·2) = chilling exposure",冷たいなあ。,,冷たい なあ,个 冫 卩 一,"令,今,零"
例,"example, custom, usage, precedent",レイ; たと.える,"異例 (いれい·0) = exception, illness, singular, exceptional, unprecedented; 一例 (いちれい·0) = example, an instance; 慣例 (かんれい·0) = custom, precedent, of convention; 月例 (げつれい·0) = monthly; 好例 (こうれい·0) = good example",そんな先例はない。,,そんな 先例 は 無い,化 刈 歹,"列,烈,裂"
令,"orders, ancient laws, command, decree",レイ,"戒厳令 (かいげんれい·3) = martial law; 訓令 (くんれい·0) = directive, instructions; 号令 (ごうれい·0) = order, command; 司令 (しれい·0) = command, control, commander; 司令官 (しれいかん·2) = commandant, commanding officer, general",それは外交辞令だ。,,其れ は 外交辞令 だ,个 卩 一,"零,鈴,玲"
類,"sort, kind, variety, class, genus",ルイ; たぐ.い,"柑橘類 (かんきつるい·4) = citrus fruits; 魚貝類 (ぎょかいるい·2) = marine products, seafood, fish and shellfish; 魚類 (ぎょるい·1) = the fishes; 菌類 (きんるい·1) = fungus, fungi; 穀類 (こくるい·2) = grains",類は友を呼ぶ。,,類(るい) は 友 を 呼ぶ,貝 目 ハ 大 米 頁,"買,顕,頒"
涙,"tears, sympathy","ルイ, レイ; なみだ","感涙 (かんるい·0) = tears of gratitude; 涙声 (なみだごえ·4) = tearful voice; 悔やし涙 (くやしなみだ·4) = vexation, chagrin; 涙ぐむ (なみだぐむ·4) = to be moved to tears",あれは空涙さ。,,彼(あれ) は 空涙 さ,戸 汁 大 一 尸,"戻,戸,雇"
輪,"wheel, ring, circle, link, loop, counter for wheels and flowers",リン; わ,"一輪 (いちりん·2,0) = one flower, (a) wheel; 花輪 (はなわ·0) = wreath, garland; 競輪 (けいりん·0) = bicycle race, bicycle racing; 三輪 (さんりん·0) = three wheels; 三輪車 (さんりんしゃ·3) = three wheeled vehicle (tricycle, motorcycle, etc), three wheeler",車輪が回りだした。,,車輪 が 回り出す,｜ 一 車 个 冊 廾,"論,倫,綸"
緑,green,"リョク, ロク; みどり","黄緑 (おうりょく·1) = pea green, yellow-green; 常緑 (じょうりょく·0) = evergreen; 常緑樹 (じょうりょくじゅ·4,3) = evergreen tree; 新緑 (しんりょく·0) = fresh verdure; 緑 (みどり·1) = greenery",丘はいつも緑だ。,,丘(おか) は 何時も 緑 だ,ヨ 糸 幺 小 水 隶,"縁,線,糸"
領,"jurisdiction, dominion, territory, fief, reign",リョウ,"横領 (おうりょう·0) = usurpation, embezzlement, misappropriation; 綱領 (こうりょう·3,0) = general plan, main points, summary; 受領 (じゅりょう·0) = receipt (of letter), acknowledge; 占領 (せんりょう·0) = occupation, capture, possession, have a room to oneself; 総領事 (そうりょうじ·3) = consul general",この問題は彼の領分だ。,,此の 問題 は 彼(かれ) の 領分 だ,貝 目 ハ 頁 个 卩 一,"嶺,頂,買"
量,"quantity, measure, weight, amount, consider, estimate, surmise",リョウ; はか.る,"雨量 (うりょう·1) = rainfall; 音量 (おんりょう·0,3) = volume (sound); 感慨無量 (かんがいむりょう·0) = deep emotion, one's mind is filled with thousand emotions; 器量 (きりょう·1) = looks, features, personal beauty; 技量 (ぎりょう·1,0) = ability, competency",スゴイ量だね！,,凄い 量 だ ね(#2029080),一 日 里,"糧,晋,旦"
良,"good, pleasing, skilled","リョウ; よ.い, -よ.い, い.い, -い.い","改良 (かいりょう·0) = improvement, reform; 最良 (さいりょう·0) = the best, ideal; 善良 (ぜんりょう·0) = goodness, excellence, virtue; 仲良く (なかよく) = making friends with, getting along well with, on cordial terms; 不良 (ふりょう·0) = badness, delinquent, inferiority, failure",良い休暇を。,,良い 休暇 を,艮,"限,郎,退"
療,"heal, cure",リョウ,"医療 (いりょう·1,0) = medical care, medical treatment; 化学療法 (かがくりょうほう·4) = chemotherapy; 加療 (かりょう·0) = medical treatment; 治療 (ちりょう·0) = medical treatment; 診療 (しんりょう·0) = medical examination and treatment, diagnosis",治療よりも予防。,,治療 よりも 予防,小 日 并 大 疔,"遼,瞭,寮"
涼,"refreshing, nice and cool","リョウ; すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに","清涼 (せいりょう·0) = cool, refreshing; 涼しい (すずしい·3) = cool, refreshing; 涼風 (すずかぜ·2) = cool breeze, refreshing breeze; 納涼 (のうりょう·0) = (enjoying the) cool of the evening",今日は涼しいです。,,今日 は 涼しい です,口 汁 小 亠,"諒,淳,椋"
両,"both, old Japanese coin, counter for carriages (eg in a train), two","リョウ; てる, ふたつ","一刀両断 (いっとうりょうだん·0) = cutting in two with a single stroke, taking decisive (drastic) measure, cutting the (Gordian) knot; 十両 (じゅうりょう·3) = second highest sumo division, wrestlers of the second highest sumo division; 両院 (りょういん·0) = both Houses of Parliament; 両家 (りょうけ·1) = both families; 両岸 (りょうぎし·0) = both banks (of a river)",両手をあげろ！,,両手 を 上げる,｜ 一 冂 山,"満,峰,峠"
了,"complete, finish",リョウ,"完了 (かんりょう·0) = completion, conclusion; 修了 (しゅうりょう·0) = completion (of a course); 終了 (しゅうりょう·0) = end, close, termination; 満了 (まんりょう·0) = expiration, termination; 未了 (みりょう·0) = unfinished, unfilled (order), unexecuted",これにて終了。,,此れ にて 終了,一 亅,"丁,訂,灯"
粒,"grains, drop, counter for tiny particles",リュウ; つぶ,"素粒子 (そりゅうし·2) = elementary particle, particle (physics); 微粒子 (びりゅうし·2) = corpuscle, minute particle; 米粒 (こめつぶ·3) = grain of rice; 粒 (つぶ·1) = grain; 粒子 (りゅうし·1) = particle, grain",彼らは粒よりの兵士だ。,,彼ら(かれら) は 粒選り の 兵士 だ,米 立,"迷,辛,童"
留,"detain, fasten, halt, stop","リュウ, ル; と.める, と.まる, とど.める, とど.まる, るうぶる","慰留 (いりゅう·0) = dissuasion from resigning or leaving; 遺留 (いりゅう·0) = bequest; 遺留品 (いりゅうひん·0) = lost articles; 居留 (きょりゅう·0) = residence, reside; 局留め (きょくどめ·0) = general delivery, counter collection, poste restante",母は留守です。,,母(はは) は 留守 です,田 刀 厶,"瑠,初,鬼"
流,"current, a sink, flow, forfeit","リュウ, ル; なが.れる, なが.れ, なが.す, -なが.す","亜流 (ありゅう·0) = bad second, epigone, adherent, follower, imitator; 一流 (いちりゅう·0) = first-class, top grade, school (of art), foremost, top-notch, unique; 押流す (おしながす·4) = to wash away; 横流し (よこながし·0,3) = diversion into illegal channels; 下流 (かりゅう·0) = downstream, lower reaches of a river, lower classes",水に流す。,,水(みず) に 流す,汁 川 亠 厶,"琉,衣,硫"
略,"abbreviation, omission, outline, shorten, capture, plunder","リャク; ほぼ, おか.す, おさ.める, はかりごと, はか.る, はぶ.く, りゃく.す, りゃく.する","概略 (がいりゃく·0) = outline, summary, gist, in brief; 簡略 (かんりゃく·0) = simple, simplicity; 攻略 (こうりゃく·0) = capture; 策略 (さくりゃく·0,2) = scheme, tactic, stratagem, trick; 省略 (しょうりゃく·0) = omission, abbreviation, abridgment, abridgement",何の略字ですか。,,何 の 略字 ですか,口 田 夂,"舌,石,閣"
率,"ratio, rate, proportion, %, coefficient, factor","ソツ, リツ, シュツ; ひき.いる","引率 (いんそつ·0) = leading, commanding; 確率 (かくりつ·0) = probability; 軽率 (けいそつ·0) = rash, thoughtless, careless, hasty; 効率 (こうりつ·0) = efficiency, efficacy, performance, utility factor; 効率的 (こうりつてき·0) = efficient",彼は打率が高い。,,彼(かれ) は 打率 が 高い,玄 十 亠 冫 幺,"玄,畜,弦"
律,"rhythm, law, regulation, gauge, control","リツ, リチ, レツ","一律 (いちりつ·0) = evenness, uniformity, monotony, equality; 韻律 (いんりつ·0) = rhythm, metre (poet); 戒律 (かいりつ·0) = Buddhist precepts; 紀律 (きりつ·0) = order, observance, discipline, rules, law, regulations; 自律 (じりつ·0) = autonomy",法律が改正された。,,法律 が 改正 為れる,彳 聿,"行,津,書"
陸,"land, six","リク, ロク; おか","空陸 (くうりく·1) = land and air, land and air forces; 上陸 (じょうりく·0) = landing, disembarkation; 大陸 (たいりく·0,1) = continent; 大陸棚 (たいりくだな·4,0) = continental shelf; 着陸 (ちゃくりく·0) = landing, alighting, touch down",彼は陸軍士官だ。,,彼(かれ) は 陸軍 士官 だ,土 儿 阡,"陵,圭,陛"
裏,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side",リ; うら,"内裏 (だいり·1,0) = imperial palace; 表裏 (ひょうり·1) = two sides, inside and outside; 舞台裏 (ぶたいうら·0) = offstage, backstage, behind the scenes; 裏 (うら·2) = reverse side, wrong side, back, undersurface, inside, palm, sole, opposite, rear, lining, last half (of an inning); 裏金 (うらがね·0) = bribe",表か裏か。,,表(おもて) か 裏(うら) か,衣 里 亠,"衣,亡,衰"
利,"profit, advantage, benefit",リ; き.く,"営利 (えいり·1) = money-making, commercialized, commercialised; 鋭利 (えいり·1) = sharpness; 巨利 (きょり·1) = huge profit; 金利 (きんり·0,1) = interest rates; 権利 (けんり·1) = right, privilege",利口だね。,,利口 だ ね(#2029080),禾 刈,"莉,痢,梨"
卵,"egg, ovum, spawn, roe",ラン; たまご,"鶏卵 (けいらん·0) = hens egg; 産卵 (さんらん·0) = egg-laying, spawning; 受精卵 (じゅせいらん·2) = fertilized eggs, fertilized eggs; 生卵 (なまたまご·3,4) = raw egg",卵は嫌いです。,,卵(たまご) は 嫌い です,ノ 卜 丶 卩,"卯,及,匁"
乱,"riot, war, disorder, disturb","ラン, ロン; みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","一心不乱 (いっしんふらん·3) = wholeheartedly, with heart and soul, intently, with undivided attention, with intense concentration; 狂乱 (きょうらん·0) = fury, frenzy, madness; 混乱 (こんらん·0) = disorder, chaos, confusion, mayhem; 錯乱 (さくらん·0) = confusion, distraction, derangement",反乱が勃発した。,,反乱 が 勃発 為る(する),乙 口 舌,"舌,礼,石"
落,"fall, drop, come down","ラク; お.ちる, お.ち, お.とす","一段落 (ひとだんらく·3) = pause; 下落 (げらく·0) = depreciation, decline, fall, slump; 滑落 (かつらく·0) = slipping down, avalanche; 落ち入る (おちいる·3,0) = to fall, to trap, to cave in, to collapse",落ちついて。,,落ちつく,口 汁 夂 艾,"藻,蕗,舌"
絡,"entwine, coil around, get caught in","ラク; から.む, から.まる","短絡 (たんらく·0) = electric short-circuit, drawing a hasty inference between two events, jumping to a quick conclusion; 脈絡 (みゃくらく·0) = chain of reasoning, logical connection, coherence, context; 絡まる (からまる·3) = to be entwined, to be involved; 絡む (からむ·2) = to entangle, to entwine, to pick a quarrel, to be involved with; 聯絡 (れんらく·0) = junction, communication, contact, connection, coordination",連絡してね。,,連絡 為る(する) ね(#2029080),口 糸 幺 小 夂,"緯,絹,結"
頼,"trust, request","ライ; たの.む, たの.もしい, たよ.る","依頼 (いらい·0) = request, commission, dispatch, despatch, dependence, trust; 依頼者 (いらいしゃ) = client; 家頼 (けらい·1) = retainer, retinue, servant; 信頼 (しんらい·0) = reliance, trust, faith, confidence; 信頼性 (しんらいせい·0) = credibility, authenticity, confidence, reliability",頼むよー。,,頼む よ,｜ 貝 目 口 ハ 頁 木,"瀬,唄,貴"
翌,"the following, next",ヨク,"翌月 (よくげつ·0) = following month; 翌週 (よくしゅう·0) = the following week, the next week; 翌日 (よくじつ·0) = next day; 翌年 (よくとし·0) = following year; 翌朝 (よくちょう·0) = the next morning",翌日は足が痛かった。,,翌日 は 足(あし) が 痛い,羽 立 冫,"羽,翔,翁"
浴,"bathe, be favored with, bask in","ヨク; あ.びる, あ.びせる","海水浴 (かいすいよく·3) = sea bathing, seawater bath; 海水浴場 (かいすいよくじょう·5) = swimming area (in the ocean), swimming beach, seawater baths; 日光浴 (にっこうよく·3) = sunbathing; 入浴 (にゅうよく·0) = bathe, bathing; 浴 (よく) = bath",彼は毎朝入浴します。,,彼(かれ) は 毎朝 入浴 為る(する),口 汁 谷 ハ 个,"溶,谷,沿"
欲,"longing, covetousness, greed, passion, desire, craving","ヨク; ほっ.する, ほ.しい","禁欲 (きんよく·0) = abstinence, abnegation; 欲 (よく·2) = greed, wants; 欲しい (ほしい·2) = wanted, wished for, in need of, desired; 欲する (ほっする·0,3) = to want, to desire; 欲求 (よっきゅう·0) = desire",親の欲目。,,親(おや) の 欲目,欠 口 谷 ハ 个,"谷,裕,浴"
陽,"sunshine, yang principle, positive, male, heaven, daytime",ヨウ; ひ,"斜陽 (しゃよう·0) = setting sun, declining; 太陽 (たいよう·1) = sun, solar; 反陽子 (はんようし·3) = antiproton (physics); 陽炎 (ようえん·0) = heat haze, shimmer of hot air; 陽気 (ようき·0,1) = season, weather, cheerfulness",太陽がまぶしい。,,太陽 が 眩しい,一 日 阡 勿,"晋,旦,腸"
踊,"jump, dance, leap, skip",ヨウ; おど.る,"舞踊 (ぶよう·0) = dancing, dance; 盆踊り (ぼんおどり·3) = Bon Festival dance, Lantern Festival dance; 踊り (おどり·0) = dance; 踊り子 (おどりこ·0) = dancer; 踊り場 (おどりば·0) = dance hall, dance floor, landing (stairs)",踊りましょうか。,,踊る ましょうか,口 足 用 マ 止,"足,路,促"
要,"need, main point, essence, pivot, key to",ヨウ; い.る,"概要 (がいよう·0) = outline, summary, synopsis; 肝要 (かんよう·0) = essential, vital, crucial, importance; 強要 (きょうよう·0) = coercion, extortion; 緊要 (きんよう·0) = momentous, exigent, urgent, important, vital; 主要 (しゅよう·0) = chief, main, principal, major",君が必要だ。,,君(きみ) が 必要 だ,女 西,"腰,茜,栗"
葉,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece",ヨウ; は,"一葉 (いちよう·0,2) = (a) leaf, (a) page, (a) copy (of a photo), (a) boat; 言葉 (ことば·3) = word(s), language, speech; 言葉遣い (ことばづかい·4) = speech, expression, wording; 若葉 (わかば·1) = new leaves, fresh verdure; 松葉 (まつば·1) = pine needle",葉が落ちた。,,葉(は) が 落ちる,木 世 艾,"蝶,菓,樺"
溶,"melt, dissolve, thaw","ヨウ; と.ける, と.かす, と.く","水溶性 (すいようせい·0) = water-soluble; 溶かす (とかす·2) = to melt, to dissolve; 溶け合う (とけあう·3,0) = to melt together; 溶液 (ようえき·1) = solution (liquid); 溶解 (ようかい·0) = solution",氷が溶けている。,,氷(こおり) が 溶ける,穴 口 汁 谷 ハ 个 宀,"容,浴,蓉"
様,"Esq., way, manner, situation, polite suffix","ヨウ, ショウ; さま, さん","ご苦労様 (ごくろうさま·2) = thank you very much for your .., I appreciate your efforts; 異様 (いよう·0) = bizarre, strange, eccentric, odd, queer; 一様 (いちよう·0) = uniformity, evenness, similarity, equality, impartiality; 奥様 (おくさま·1) = wife, your wife, his wife, married lady, madam; 王様 (おうさま·0) = king",お客様は？,,お客様 は,王 水 并 木 羊,"羊,琳,養"
容,"contain, form, looks",ヨウ; い.れる,"寛容 (かんよう·0) = forbearance, tolerance, generosity; 許容 (きょよう·0) = permission, pardon; 形容 (けいよう·0) = form, figure, qualification, description, modifying, figure of speech; 形容詞 (けいようし·3) = (true) adjective; 受容 (じゅよう·0) = reception",間食は美容に悪い。,,間食 は 美容 に 悪い(わるい),穴 口 谷 ハ 个 宀,"蓉,溶,谷"
幼,"infancy, childhood",ヨウ; おさな.い,"乳幼児 (にゅうようじ·3) = infants, babies; 幼馴染 (おさななじみ·4) = childhood friend, friend from infancy, old playmate; 幼魚 (ようぎょ·1) = fry (young fish); 幼子 (おさなご·3) = infant, baby, little child; 幼児 (ようじ·1) = infant, baby, child",アンは幼い少女です。,,は 幼い 少女 です,力 幺,"幻,脅,糸"
預,"deposit, custody, leave with, entrust to","ヨ; あず.ける, あず.かる","普通預金 (ふつうよきん·4) = ordinary bank account; 預かり (あずかり·0,4) = custody, undecided match, draw, tie; 預かる (あずかる·3) = to keep in custody, to receive on deposit, to take charge of; 預け (あずけ·3) = custody, keeping; 預ける (あずける·3) = to give into custody, to leave (a child) in the care of, to entrust",私は彼に金を預けた。,,私(わたし) は 彼(かれ) に 金(かね) を 預ける,貝 目 ハ 欠 マ 一 亅 頁,"頂,貯,財"
与,"bestow, participate in, give, award, impart, provide, cause, gift, godsend","ヨ; あた.える, あずか.る, くみ.する, ともに","関与 (かんよ·1) = participation, taking part in, participating in, being concerned in; 寄与 (きよ·1) = contribution, service; 給与 (きゅうよ·1) = allowance, grant, supply; 供与 (きょうよ·1) = giving, provision, furnishing; 参与 (さんよ·1) = participation, taking part",彼女はお金を与えた。,,彼女 は お金 を 与える,勹 一 卜,"上,朽,巧"
余,"too much, myself, surplus, other, remainder","ヨ; あま.る, あま.り, あま.す, あんま.り","持て余す (もてあます·4,0) = to be too much for one, to find unmanageable, to be beyond one's control, to not know what to do with; 剰余金 (じょうよきん·0) = surplus, balance; 余波 (なごり·3,0) = remains, traces, vestiges, memory; 余す (あます·2) = to save, to leave over, to spare; 余りに (あまりに) = too much, excessively, too",身に余る栄光。,,身に余る栄光,一 二 ハ 个 亅 示 小,"祭,示,介"
予,"beforehand, previous, myself, I","ヨ, シャ; あらかじ.め","執行猶予 (しっこうゆうよ·5) = stay of execution, suspended sentence; 猶予 (ゆうよ·1) = postponement, deferment; 予科 (よか·1) = preparatory course, preparatory department; 予感 (よかん·0) = presentiment, premonition; 予期 (よき·1) = expectation, assume will happen, forecast",予約してある。,,予約 為る(する),マ 一 亅,"了,丁,序"
郵,"mail, stagecoach stop",ユウ,"郵政省 (ゆうせいしょう·3) = Ministry of Posts and Telecommunications; 郵送 (ゆうそう·0) = mailing; 郵便為替 (ゆうびんかわせ) = postal money order; 郵便局 (ゆうびんきょく·3) = post office; 郵便 (ゆうびん·0) = mail, postal service",郵便が届いた。,,郵便 が 届く,｜ ノ 一 邦,"垂,乃,丑"
遊,play,"ユウ, ユ; あそ.ぶ, あそ.ばす","園遊会 (えんゆうかい·3) = garden party; 火遊び (ひあそび·2) = playing with fire, playing with love; 回遊 (かいゆう·0) = excursion, circular tour; 外遊 (がいゆう·0) = foreign travel; 吟遊詩人 (ぎんゆうしじん·5) = troubadour, minstrel",遊びにこいよ。,,遊びに来る よ,込 子 方 乞,"竹,旋,放"
由,"wherefore, a reason","ユ, ユウ, ユイ; よし, よ.る","経由 (けいゆ·0,1) = go by the way, via; 事由 (じゆう·0) = reason, cause; 自由 (じゆう·2) = freedom, liberty, as it pleases you; 自由化 (じゆうか·0) = liberalization, liberalization, freeing; 自由業 (じゆうぎょう·2) = self-employed profession (eg actor, artist), liberal profession",俺は自由な男。,,俺(おれ) は 自由 男,｜ 日 田,"申,甲,迪"
勇,"courage, cheer up, be in high spirits, bravery, heroism",ユウ; いさ.む,"蛮勇 (ばんゆう·0) = foolhardiness, recklessness, savage valour, savage valor, brute courage; 武勇 (ぶゆう·1) = bravery, military prowess, valour, valor; 勇 (ゆう·1) = bravery, courage, heroism; 勇ましい (いさましい·4) = brave, valiant, gallant, courageous; 勇み足 (いさみあし·3,0) = overeagerness, rashness, forward step-out (in sumo)",彼は勇敢だった。,,彼(かれ) は 勇敢 だ,田 力 マ,"湧,男,矛"
優,"tenderness, excel, surpass, actor, superiority, gentleness","ユウ, ウ; やさ.しい, すぐ.れる, まさ.る","女優 (じょゆう·0) = actress; 声優 (せいゆう·0) = voice actor or actress (radio, animation, etc.); 男優 (だんゆう·0) = actor; 俳優 (はいゆう·0) = actor, actress, player, performer; 優しい (やさしい·0,3) = tender, kind, gentle, graceful, affectionate, amiable, suave",優しい人です。,,優しい 人(ひと) です,一 化 心 白 冖 夂 自,"憂,百,伯"
輸,"transport, send, be inferior","ユ, シュ",運輸 (うんゆ·1) = transportation; 運輸省 (うんゆしょう·3) = Ministry of Transport; 逆輸入 (ぎゃくゆにゅう·3) = reimportation; 禁輸 (きんゆ·0) = embargo; 空輸 (くうゆ·0) = air transport,輸血が必要です。,,輸血 が 必要 です,刈 月 車 个 一,"諭,愉,今"
油,"oil, fat","ユ, ユウ; あぶら","揮発油 (きはつゆ·3,0) = volatile oil; 給油 (きゅうゆ·0) = supply of oil; 軽油 (けいゆ·0) = diesel oil, light oil, gasoline, petrol; 原油 (げんゆ·0) = crude oil; 重油 (じゅうゆ·0) = heavy oil, crude petroleum",水は油よりも重い。,,水(みず) は 油 よりも 重い,｜ 汁 日 田,"申,甲,由"
約,"promise, approximately, shrink",ヤク,"違約 (いやく·0) = breach of contract, default; 解約 (かいやく·0) = cancellation of contract; 確約 (かくやく·0) = firm promise, definite promise; 規約 (きやく·0) = agreement, rules, code, protocol, convention; 旧約 (きゅうやく·0) = Old Testament, old promise, the old covenant",約束は約束。,,約束 は 約束,糸 幺 小 丶 勹,"絢,糸,勺"
役,"duty, war, campaign, drafted labor, office, service, role","ヤク, エキ","悪役 (あくやく·0) = villain, baddie, the villain's part; 一役 (いちやく·0,2) = an office, an important office; 監査役 (かんさやく·0,3) = auditor, inspector; 顔役 (かおやく·0) = influential man, boss; 区役所 (くやくしょ·2) = ward office, council (regional)",私は役員になった。,,私(わたし) は 役員 になる,彳 殳 几 又,"鍛,設,般"
